region,demographic-type,demographic,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
00,,,0.1753573240060197,0.15480733837068764,0.13637166085517827,0.1119259301580486,0.10384079677746105,0.10482324248182473,0.1050899618411244,0.10428128847313645,0.10597837365214685,0.10608134800503051,0.1084559774250337,0.10718820671412954,0.1119708283389188,0.11855396940943878,0.11414195236933733
01,,,0.14085940209702602,0.12505992139522715,0.10916273615189051,0.08397259466839727,0.07543183622821484,0.07715073879355219,0.07449361532413891,0.07214072300205084,0.07035078707789787,0.07224587389935022,0.07346960141144068,0.07249885628222329,0.07709530810017713,0.08247264909473428,0.08011119303065252
02,,,,,,,,,,,,,,,0.13478437204272,0.15071979584813214,0.1423015672309974
04,,,0.21297886635165114,0.18596347307186878,0.1532504680446346,0.1110604770871488,0.1000133372136322,0.09974759535095984,0.09600405892925039,0.09154874356557718,0.09261598935225195,0.09180714467299406,0.09357691345826655,0.0946107460058043,0.10173185493258952,0.10493119330139156,0.10740903925788019
05,,,0.1540039775671255,0.13778629728031536,0.12374282554894424,0.09879793526230504,0.08999452162233162,0.08915236464241175,0.08817727406741396,0.08735964533135693,0.08630127728593634,0.087113532691333,0.08938741081406344,0.08705924376521364,0.09369132838777282,0.09901210506048212,0.09536735984179225
06,,,0.20013708294668214,0.17329793714268615,0.15243179568859422,0.12612986269905668,0.11370834016368882,0.1136697911992502,0.11857846443877522,0.11866251370267308,0.12513333821387418,0.12411595396654432,0.13019153454393714,0.1275585333482676,0.1299033344693015,0.14291366074776313,0.13582885478248086
08,,,0.26855139847941056,0.2370973957206801,0.20951866287749787,0.1682505987038139,0.16093495930871576,0.1506137182112828,0.1435626821383185,0.14537864792272612,0.14913546787979204,0.15868859298170257,0.160623840614183,0.15532886880180674,0.16219149180712006,0.16968042553468135,0.15657949939014396
09,,,0.12854452693446966,0.11676038959931313,0.10322430661673192,0.08441498553550775,0.07920137166331584,0.08172413619683531,0.08249070655798331,0.08187401639205162,0.07961409141600422,0.07772934608309752,0.07989692014935651,0.07403285672643979,0.07987021509826919,0.0853418152495296,0.08380811979512448
10,,,0.19180027214104003,0.16409315836269942,,,,,,,0.12819735463026324,0.1395193713156323,0.1460820269173399,0.15269975055879256,0.16398017188131975,0.17628555359567633,0.17786650564202416
11,,,,,,,,,,,,,,,0.11656252788146886,0.11873758992626295,0.11859740502643291
12,,,0.26226824536524357,0.216194317275454,0.1796073812046075,0.1468535224092225,0.1453949370394889,0.14665541236633373,0.14790662604994628,0.14356542411884615,0.1489694290091883,0.15177433779683885,0.15361935513816044,0.1500814248852826,0.15535012977009258,0.16295181436051814,0.15332155338339415
13,,,0.19237228378200033,0.1751564825537612,0.1494868228707887,0.11604610407557495,0.1046997322272906,0.10440819857656823,0.101893091621864,0.10078342219255199,0.10073723895532896,0.10495389121071258,0.10539918319562896,0.10478659741076637,0.11405017900489225,0.12129998189538309,0.12260978958830217
