region,demographic-type,demographic,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
29,,,0.18216672711258486,0.1618942188411393,0.13365350841733456,0.11080508231379378,0.1030684331450903,0.11067426243009058,0.10971211799792856,0.11563040565091735,0.1142579976045882,0.11489048747053021,0.11565069077488928,0.11199028771334955,0.1163809408400978,0.11617834028655473,0.11051860812053518
30,,,0.31485945142122873,0.2762697702930223,,,,,,,0.15361559005849626,0.16156669788397535,0.16565176253669425,,0.16532349246827976,0.18224415814606876,0.16869733471310225
31,,,0.1703096854550419,,0.1326088906831741,,,0.10527224846436976,0.10871029710888197,0.11099102521282274,0.10593589484468544,0.10727278628823922,0.113891302014459,0.11198478602194777,0.1158695934699655,0.11918276456236816,0.11398836233100773
32,,,0.2585374297481686,0.2173897531888984,0.1840779493993246,0.1466293341573618,0.1323442589671337,0.1382472279321567,0.13713122942570768,0.14026988377534078,0.14571483121215287,0.1417859277377993,0.1427306266369811,0.1313424937182162,0.13801788272688856,0.14517690607037662,0.133467265943673
33,,,0.1701974290176605,,,,,,,,,,,,0.10283313821974856,0.11282153583579922,0.10215406067907078
34,,,0.17433015864356502,0.15801786235670937,0.13964232068067278,0.11609339359368347,0.11182554894569215,0.11535953513437097,0.1156078923738777,0.11495835699092205,0.11804259966047086,0.1127979220544812,0.11303628381263808,0.1116919538617989,0.11463588251678994,0.12054883932917136,0.11823660606224365
35,,,0.16193355600706733,0.1499895267251981,0.1242669855834217,0.10006654524728671,0.08277682366769082,,0.08320315316397894,0.0806780404817878,0.07494241908202227,0.07972939861253618,,,0.08241768748589721,0.08711063624213411,0.08465163349037999
36,,,0.1728201222938219,0.16207588620790425,0.15260029682733445,0.13734853820723203,0.13683591282072582,0.1413668683895847,0.1392618307553612,0.13897253615350014,0.14146640667123,0.132959823162621,0.13706160155557973,0.13213688409380164,0.1363633672037347,0.1393881758704695,0.1365354137476424
37,,,0.17560350710770903,0.1535559649982562,0.13337300561513404,0.10458191456873549,0.0970097462677122,0.09432520711908299,0.09060229506485674,0.08937916253140168,0.09203180710279524,0.09459485444664778,0.09979419130220503,0.10366538425026696,0.10914243959988053,0.11161076576235972,0.11204143673906501
38,,,,,,,,,,,,,,,0.13352019095506676,0.1487969607429295,0.12610522503418356
39,,,0.1107532547289965,0.09856972429655299,0.08854422272206662,0.07315426805741986,0.06839336567872588,0.06860880036771613,0.06863777660725133,0.06784182386530761,0.06507908482256232,0.06455394003119963,0.06465231369808738,0.06558154846373289,0.0694017401894568,0.07226578942838344,0.07222112908607164
40,,,0.1679537011387881,0.14871636492130136,0.13548506211153635,0.12033330280710476,0.0992045345725651,0.10024085465102671,0.10468857524550737,0.10244018168991734,0.10111039770954844,0.09963418473632138,0.09617598158332268,0.09459212684819492,0.09897449098469825,0.11093246976385926,0.11134779607937485
41,,,0.2356635471805894,0.2045556886449391,0.1766056838876461,0.13662362142547074,0.1208055453447461,0.12117292262053513,0.12001438003159061,0.11854318580579999,0.12323873642818757,0.12749656594446368,0.13683477630315513,0.13926732088403454,0.14385954327430692,0.15122363450366652,0.13568887770859112
42,,,0.12081134201714218,0.10665976916440816,0.10117051685311698,0.0830063703761848,0.07563833114731372,0.07676718725906999,0.07684875388509876,0.07829488221225808,0.07668098822594226,0.07635878164696157,0.0781473287160889,0.07744317815099425,0.08254845440218411,0.08729058734987996,0.08690055896782914
44,,,,,,,,,,,,0.10426768288987211,,,0.1164186258434193,0.13332867171192692,0.11488057423295743
45,,,0.17170357013219675,0.14865138679719594,0.1264370143853325,0.09871945128677527,0.08586296088431224,0.08421690253079989,0.08332630564165965,0.08400895925978843,0.08755100670013938,0.09223369102480565,0.0925400117499445,0.09060163357246355,0.10083110481256925,0.10526820970875009,0.1024139231660566
46,,,,,,,,,,,,,,,0.1322078481511523,0.14282495237271509,0.1262633398857639
47,,,0.13974161821528322,0.12633101682672646,0.11177631394651998,0.08560346037742675,0.08285734629090082,0.08293850607783003,0.08002449021305641,0.07747255999397573,0.07817576535875856,0.07868559136418374,0.08015268912803038,0.08177839034247616,0.08561890138607521,0.09145507190217542,0.08927873268421628
48,,,0.1533884069376568,0.14048197784377972,0.12958216695606067,0.10755669938248075,0.10094847700532232,0.10469863862849697,0.10802620594722008,0.10502413293176122,0.10719303197331931,0.10889570307561475,0.10837254936793721,0.10981783243851473,0.11487077717893021,0.1222830291848038,0.11819954703221468
49,,,0.2743600875445891,0.2632342733558054,0.22519522693904637,0.16608906624749487,0.14771862301127883,0.1451357891596393,0.14564465971949814,0.13867788145617033,0.14111483828218827,0.14529028945353212,0.15054488259746096,0.15543080764845812,0.16381590446050068,0.17180637694027365,0.16625295777424406
50,,,,,,,,,,,,,,,0.11131683815332573,0.11708026484805191,0.11458535326744543
51,,,0.18206161852052993,0.1546054882081388,0.13355696039220746,0.1054573845445252,0.09708631294949734,0.0963645321191635,0.09496176779730792,0.09572294956188576,0.09509929624339604,0.09661902013393586,0.09631888223216797,0.09413674453092505,0.0986579330962156,0.10054949333547888,0.09909180683681919
53,,,0.23655551391533577,0.20597251219753773,0.18340695559775022,0.1434725476747161,0.1222960704775726,0.12543694561482344,0.12464427893892546,0.12163157102637095,0.1253305399135696,0.13143094878488032,0.13618742494231648,0.13973022593855242,0.14399136132657953,0.1542291605555599,0.14281224962714512
54,,,,,,,,,,,,,,,0.05905325469839362,0.06301644246964598,0.0568033760623431
55,,,0.14388317983991103,0.12351068683882384,0.10497658523109553,0.08650954547742987,0.07803482074569115,0.07625022515695087,0.07559653430291337,0.07477325016258854,0.07629750203686614,0.07700566371527551,0.07762622072092401,0.07739975622887876,0.08051554820518719,0.0839445356498237,0.08048180537555256
56,,,,,,,,,,,,,,,0.24355234043435228,0.27925851928926715,0.27887255316979953
