region,demographic-type,demographic,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
00,,,0.20653889029935604,0.17528492898879713,0.15470538324600586,0.1348525441551351,0.13106478151892526,0.1297106162835447,0.1271524439024769,0.12703823176625403,0.12824700813786502,0.12662686255957584,0.12319877222107672,0.11634554885131647,0.11403353734013982,0.11088791702753581,0.106920606400642,0.09421295673801264
01,,,0.20477175123270241,0.17033484375919497,0.1504453489057984,0.12471277031068022,0.12151684442187236,0.12204151791617084,0.121996996996997,0.11582316463292658,0.11502657323719576,0.11954478657598852,0.11203997611489991,0.101628476725753,0.10170775934396059,0.09580510992275698,0.09502842627313415,0.07904064272211721
02,,,,,,,,,,,,,,,0.13540676354746706,0.12068402134843699,0.12765174739423665,0.12385032128008064
04,,,0.21727963658600508,0.1771639857156401,0.1451541072223843,0.11220320442699955,0.10811363520169055,0.10935254260488673,0.10660307766207476,0.10772047604516326,0.10979642174122863,0.11070302422244517,0.11070692372984116,0.10600313150715888,0.10529409171723703,0.10175162902854357,0.1022281500078456,0.09410641047249846
05,,,0.2223779854620976,0.190261805725471,0.17764450939878043,0.1537129248755142,0.14412870411322423,0.1446579298089738,0.14291225749559083,0.14273854328093868,0.1446943515948105,0.14159728308501315,0.13819956390821306,0.12608990505715947,0.12088904174369115,0.11568322981366459,0.11337403978727595,0.099857875548415
06,,,0.26150238508555673,0.21736208559520037,0.19150484679820198,0.172913069694802,0.16720641008299053,0.1639858207022386,0.16369758255300887,0.16627526567265585,0.17058840296731254,0.16493542711751197,0.16511441476084024,0.15827923877953817,0.15575600824963368,0.15362906301417628,0.1457185058076708,0.13171158068120034
08,,,0.22158291323013343,0.1883699402507784,0.16386903502059555,0.13899776981820638,0.13493870255139037,0.12302563438632833,0.12285275048459328,0.12345053147996729,0.12283883070189151,0.12323279240572474,0.12116640832595217,0.11397989057718548,0.11294205236381685,0.10966511089156133,0.10419820423633822,0.09589261055268312
09,,,0.15763340093712847,0.13353057840491594,0.1213019722814499,0.10715308606616068,0.10804289544235925,0.11067388096409247,0.11295554283533676,0.10876635375859266,0.10881301802144323,0.10620343621712026,0.1086593873218077,0.09493943086517095,0.09456280441337266,0.08944711820636225,0.09122828443196043,0.08188172043010752
10,,,0.1418445922296115,0.120698510529019,,,,,,,0.07503168567807351,0.07783893741773364,0.08017960230917255,0.07332253820463516,0.06773733972283383,0.064579776133561,0.0667205978658654,0.06531261153109892
11,,,,,,,,,,,,,,,0.0755949603359776,0.06988255033557048,0.06828193832599119,0.05698554714384033
12,,,0.16498196600512638,0.13545783755819968,0.11748282628282058,0.10717929526698312,0.11011141066034365,0.1083554189471043,0.10420926904488087,0.101791875020667,0.10315666406858924,0.10152963542228455,0.09666792256602035,0.09018613261037503,0.09032764469147925,0.08782883804005044,0.08382867689174568,0.076379395363195
13,,,0.17526615018730032,0.14575115877487957,0.12062344118129331,0.09943117793943983,0.09287294855246174,0.0929405510439772,0.0896806227721261,0.08942878138834622,0.0931314835587611,0.09218366937418752,0.087513357860132,0.08056270756371506,0.0816451431007688,0.07915174164871526,0.07549161172097446,0.0628378626178164
15,,,,,,,,,0.0964740906130803,,,,,,0.08925905555119039,0.08069332640872501,0.08078436787958296,0.07424787863203909
16,,,0.294075096994805,0.24183006535947713,0.19202187741513585,0.15984645966138872,0.1486664089679165,0.14779508641401223,0.14716924463132602,0.14193837870176487,0.1577570093457944,0.1561221507890123,0.15782769024472007,0.14823084850566814,0.1497350069735007,0.142668834307307,0.14452961672473869,0.14020346988827323
17,,,0.19463765097875885,0.17551078464242534,0.15954946521401397,0.13508480403392162,0.13762396694214876,0.13588285613646656,0.13407759919387827,0.1390767573613945,0.13835239702481406,0.13591594860787315,0.13336416277947563,0.12708847706021756,0.1259973436021901,0.11836001027133441,0.11195038022006032,0.0909808107292851
18,,,0.20898534769730806,0.18813163374130312,0.16602803391757928,0.12459131247080803,0.09974890652843026,0.10917453401113532,0.11188671719186279,0.11467249301738895,0.11497519275115883,0.1133658072947606,0.11479260255854788,0.11080817484594582,0.10902574938371347,0.1037614977147993,0.10139257171466187,0.08904876099120704
19,,,0.2513588463671658,0.19861444177990942,,0.16433566433566432,,0.15012227656736327,0.14236957581667478,0.14210411911748724,0.14193763178337587,0.13941548183254343,0.14166048139115683,0.13240939229273643,0.12383259911894273,0.12331233123312331,0.12265439970850793,0.11389310402967459
20,,,0.24446780551905387,0.19833070385261337,0.18416225564697866,0.16451612903225807,,0.14560555088309504,0.14326981552807622,0.13690960912052116,0.1425707971424166,0.14471657015353556,0.1407697965187546,0.127620741295395,0.12617419060647514,0.12106230847803881,0.12461017553238884,0.11478447033636625
