region,demographic-type,demographic,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
00,,,0.971871248110296,0.907955923532758,0.8831486783854027,0.8378240180153805,0.7933329574126482,0.785946686998787,0.7781023180860394,0.781846348576167,0.7497317105770114,0.7292308722347225,0.7135361753294436,0.6976995217076991
01,,,1.0373111388270528,0.9817974506668525,0.9399511051466812,0.887913157706013,0.8629668864135205,0.8413865560021663,0.827652020929007,0.8169376977304927,0.7866835418960828,0.7827746948606206,0.758183770629176,0.7429142427115174
04,,,0.949061197581752,0.8779751834079208,0.8361424669451094,0.7755781371243023,0.7259885936813381,0.7432567553225069,0.7280667250691124,0.7309735973969539,0.7043034642221683,0.6827169430959625,0.6548146535244173,0.6496799581275686
05,,,1.0696872051028574,0.9788241709889779,0.9781969404762186,0.9367193694300323,0.8908502475562868,0.8747542494343848,0.8680005510524875,0.8833013958618402,0.8740099503942839,0.8105451879045705,0.8116518211827373,0.7802805369105178
06,,,1.0530867289157122,0.9727106354159472,0.9391245823731675,0.895924817026906,0.8490426082324033,0.8367813718383413,0.8348659200819039,0.8360263304033225,0.8029943890439116,0.7767447010340123,0.762270599668139,0.7531621710590263
08,,,0.9844508182440083,0.9206788466572506,0.8916608372928322,0.8493340555225479,0.7990834943320249,0.7663790495180653,0.7614650442765057,0.7829352133914079,0.7246044345670083,0.7147573380630804,0.6736279664990398,0.660606599832777
09,,,0.8987653301796733,0.8295168470402925,0.8235836767719862,0.7889694193279777,0.7706762823259476,0.7545604224447997,0.7629572015508279,0.7656219131235549,0.7233611766929401,0.6756603608706354,0.7018246241576209,0.6553226184101839
10,,,0.8288941965438043,0.7798747580950609,,,,,,,0.6250752486336095,0.5871350935401077,0.6115716264506309,0.5890989994716164
12,,,0.8145808794970142,0.7607113972464709,0.7484957486781011,0.7025444253345848,0.6759191703897238,0.6700228176727714,0.668299331811829,0.6691625418331848,0.6364903710776745,0.6252639211720875,0.6146773684973197,0.5968802801017735
13,,,0.9069326116010039,0.8527873422746712,0.8191618299548554,0.7682096433976062,0.7202877763354761,0.7218067820824328,0.7095987960569178,0.7073628489751915,0.6874295095329749,0.6571083203594226,0.6402856037043249,0.6359052966743456
15,,,,,,,,,0.6643679843708838,,,,,
16,,,1.1466886925609332,1.0775612298941586,1.002684978851845,0.9143614322330957,0.8692705391181075,0.8503618733239056,0.8287126761735778,0.8541721969057765,0.8552796529760351,0.8367421433890485,0.8137394122030182,0.7687252595183169
17,,,0.8941511132396721,0.8610929353133662,0.8512690122952268,0.8102128236969173,0.7604858586300237,0.7648375250372182,0.7591621695700916,0.7761901359337364,0.7344101254809109,0.7114441270260311,0.7121569877964681,0.6981112755852944
18,,,1.005949856194262,0.9532083347026972,0.9358966435127685,0.8420412224117402,0.7737019255881215,0.7814623863851249,0.7763002321909418,0.7929193532749188,0.7428051386676802,0.7358364387077844,0.7263139631286359,0.703663715468796
19,,,1.1164602886523785,1.0059470168370421,,0.9596383640662259,,0.8866745966839974,0.871017494408258,0.8696610246591767,0.8287893920367381,0.8229647276410275,0.7953590305738147,0.7588887333756241
20,,,1.0995347996048181,1.0145916749520667,0.9747653046625234,0.9544031964896664,,0.8729085439165265,0.8510155625689574,0.8402172218673996,0.8440346433289007,0.8180356316293228,0.8161346002571634,0.7853571561930263
21,,,1.0192764685426812,0.9682371344711094,0.9376613950190567,0.903932733377068,0.8790893183451888,0.85258347639639,0.8511724533282232,0.8544798233672881,0.8418335914085284,0.7908258325903015,0.7824851422667366,0.7527066318179633
22,,,0.9096398587306479,0.852531303454332,0.8222997074269626,0.8012896433020822,0.7623581060866159,0.7359649398576195,0.7396979221776802,0.7274505875552817,0.7177606066764114,0.7062386809923318,0.6571376431602758,0.6385828946169924
23,,,,1.058698451418531,,,,,,,,,,0.8649654398926367
24,,,0.8843848979973895,0.8137407553509,0.7743091217028593,0.7500890415076437,0.7154675383333664,0.6808661399044743,0.6844259889681874,0.7042691019066127,0.6623688627258932,0.6292939054557789,0.5990969566952179,0.5959343539212798
25,,,0.9759207596508438,0.9176277318311991,0.9083458658037586,0.8645438085173625,0.8247638135116055,0.7873684105322737,0.7790096806139811,0.7977499005132028,0.7677577794559215,0.7485577852283324,0.751311318304368,0.7394822717206838
